start_date,start_time,finish_date,finish_time,all_day,name,detail,location,event_type,publish_date,attendance
07/11/2025,12:02,07/11/2025,12:55,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
07/11/2025,13:40,07/11/2025,14:35,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
07/11/2025,14:35,07/11/2025,15:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
10/11/2025,08:35,10/11/2025,09:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
10/11/2025,09:30,10/11/2025,10:25,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
10/11/2025,10:25,10/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
10/11/2025,11:10,10/11/2025,12:02,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
10/11/2025,12:02,10/11/2025,12:55,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
10/11/2025,13:40,10/11/2025,14:35,0,"Chapel 08 (08Chp_S2_1)",,CHAPEL,5,,0
10/11/2025,14:35,10/11/2025,15:30,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
11/11/2025,08:35,11/11/2025,09:30,0,"Religious and Values Education 08 (08Rav_S2_5)",,MAJ08,5,,0
11/11/2025,09:30,11/11/2025,10:25,0,"History 08 (08His_S2_5)",,ROG08,5,,0
11/11/2025,10:25,11/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
11/11/2025,11:10,11/11/2025,12:02,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
11/11/2025,12:02,11/11/2025,12:55,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
11/11/2025,13:40,11/11/2025,14:35,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
11/11/2025,14:35,11/11/2025,15:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
12/11/2025,08:35,12/11/2025,09:30,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
12/11/2025,09:30,12/11/2025,10:25,0,"Assembly 08 (08Aby_S2_1)",,Collegians,5,,0
12/11/2025,10:25,12/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
12/11/2025,11:10,12/11/2025,12:02,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
12/11/2025,12:02,12/11/2025,12:55,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
12/11/2025,13:40,12/11/2025,14:35,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
12/11/2025,14:35,12/11/2025,15:30,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
13/11/2025,08:35,13/11/2025,09:30,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
13/11/2025,09:30,13/11/2025,10:25,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
13/11/2025,10:25,13/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
13/11/2025,11:10,13/11/2025,12:02,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
13/11/2025,12:02,13/11/2025,12:55,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
13/11/2025,13:40,13/11/2025,14:35,0,"History 08 (08His_S2_5)",,ROG08,5,,0
13/11/2025,14:35,13/11/2025,15:30,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
14/11/2025,08:35,14/11/2025,09:30,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
